	dass	dfcp
oui	2.0	
zwüsche	2.0	
taken	2.0	
happily	2.0	
pic	2.0	
(:	2.0	
bechunt	2.0	
drus	2.0	
anderne	2.0	
ebä	2.0	1.0
rueh	2.0	
Okk	2.0	
mached	2.0	
he	2.0	
geell	2.0	
ohh	2.0	
usser	2.0	
fragsch	2.0	
welles	2.0	
nanig	2.0	
huerre	2.0	
anders	2.0	
Muess	2.0	
isches	2.0	
gid	2.0	
vorem	2.0	
komisches	2.0	
emojiQgrinningFace	2.0	
böhi	2.0	
sonen	2.0	
bedütet	2.0	
emojiQgreenHeart	2.0	
funktioniert	2.0	
frögt	2.0	
wetsh	2.0	
iiversüchtig	2.0	
werded	2.0	
fraue	2.0	1.0
wenigen	2.0	
amigs	2.0	2.0
heiweg	2.0	
we	2.0	
mathe	2.0	
sooo	2.0	
beim	2.0	
